,Brand,Engine Size,Fuel Type,Transmission,Mileage,Condition,Price,Model,Car_Age
371,Mercedes,5.6,Electric,Manual,148843,New,94771.69,GLA,5
372,Audi,2.7,Petrol,Manual,297197,Like New,66410.9,Q5,24
373,BMW,3.6,Diesel,Automatic,248966,Like New,25518.6,3 Series,17
374,Tesla,2.1,Hybrid,Manual,138117,New,74221.02,Model X,25
375,Ford,6.0,Hybrid,Manual,29714,Used,66342.48,Explorer,15
376,Toyota,5.9,Hybrid,Manual,165458,New,98645.75,RAV4,23
377,Toyota,4.2,Petrol,Manual,270706,Like New,25320.09,Corolla,6
378,BMW,5.0,Electric,Manual,12026,Used,61799.07,3 Series,3
379,Ford,4.6,Diesel,Manual,106147,Used,79115.91,Fiesta,22
380,Ford,4.0,Electric,Automatic,31589,Used,37203.39,Fiesta,8
381,Mercedes,1.3,Hybrid,Automatic,108199,New,41069.56,C-Class,3
382,Tesla,3.3,Electric,Automatic,288988,Used,89350.67,Model Y,20
383,Mercedes,4.4,Petrol,Manual,208574,Used,43398.51,E-Class,23
384,Mercedes,4.4,Petrol,Manual,214340,Used,64349.62,GLA,4
385,Mercedes,2.9,Diesel,Manual,54708,Like New,89477.62,GLC,15
386,Mercedes,5.7,Diesel,Automatic,70825,New,24933.53,C-Class,11
387,Mercedes,1.8,Hybrid,Manual,51574,New,98278.34,GLA,4
388,Audi,3.5,Diesel,Manual,232409,Like New,71685.59,A3,21
389,Ford,4.5,Electric,Automatic,186381,Used,52131.56,Explorer,6
390,Mercedes,4.5,Petrol,Automatic,64230,Like New,45937.45,C-Class,16
391,Ford,4.2,Petrol,Manual,254451,Like New,95664.64,Mustang,14
392,Ford,2.4,Petrol,Manual,247174,Used,24543.86,Fiesta,11
393,Honda,1.8,Diesel,Manual,219700,Used,34609.91,CR-V,9
394,Audi,4.2,Petrol,Manual,287249,New,34240.31,Q5,16
395,Mercedes,4.0,Petrol,Automatic,246514,Used,32455.6,GLA,20
396,Toyota,1.9,Petrol,Manual,264491,Like New,49511.11,RAV4,8
397,BMW,4.5,Hybrid,Manual,226094,Like New,98972.03,5 Series,13
398,Tesla,3.3,Hybrid,Automatic,148182,Used,89434.74,Model X,23
399,Toyota,4.3,Diesel,Manual,193242,New,36155.21,Corolla,2
400,Audi,5.2,Petrol,Manual,182873,Like New,45172.66,A4,16
401,BMW,1.8,Diesel,Automatic,124926,Used,68600.67,3 Series,12
402,Audi,1.1,Petrol,Automatic,81147,New,6629.41,Q5,20
403,Ford,4.9,Petrol,Manual,19199,New,82914.6,Explorer,23
404,BMW,4.0,Petrol,Automatic,183208,Like New,88580.82,5 Series,10
405,Ford,4.5,Diesel,Automatic,220868,Like New,86434.03,Explorer,19
406,Toyota,5.2,Diesel,Manual,120787,New,40630.17,Corolla,6
407,Toyota,5.0,Petrol,Automatic,114427,New,48889.95,Corolla,12
408,BMW,5.8,Electric,Manual,148063,New,6176.89,3 Series,17
409,BMW,3.7,Diesel,Manual,153625,Used,42942.56,X5,11
410,Mercedes,3.4,Hybrid,Manual,220782,Like New,48740.55,GLA,5
411,Audi,3.0,Diesel,Manual,87493,New,91162.56,Q7,23
412,Mercedes,1.8,Petrol,Automatic,274915,Like New,89928.83,GLA,24
413,Audi,3.9,Electric,Manual,125607,Like New,96779.22,Q7,24
414,Mercedes,2.4,Petrol,Manual,246834,Like New,89084.97,GLA,23
415,Ford,5.6,Hybrid,Manual,79876,New,5779.07,Fiesta,8
416,BMW,3.9,Diesel,Manual,167071,Used,65938.78,3 Series,12
417,Toyota,4.0,Diesel,Automatic,202959,New,11482.58,Prius,6
418,Audi,2.8,Petrol,Automatic,243722,Like New,30896.46,A4,8
419,Audi,1.3,Petrol,Automatic,44440,New,59939.22,Q7,16
420,Toyota,1.2,Hybrid,Manual,31655,New,71558.31,Camry,24
421,Mercedes,3.1,Electric,Automatic,43039,Like New,67190.04,GLA,4
422,Audi,1.4,Hybrid,Automatic,72219,Like New,9660.54,Q7,25
423,Tesla,4.0,Electric,Manual,186061,New,14842.37,Model S,22
424,Ford,5.4,Diesel,Automatic,273388,New,17215.75,Fiesta,12
425,BMW,5.4,Electric,Manual,94594,New,13684.37,X3,25
426,Toyota,4.3,Electric,Automatic,170623,New,21932.27,Prius,12
427,BMW,2.1,Diesel,Automatic,194302,Used,70406.34,5 Series,10
428,Tesla,5.3,Diesel,Automatic,290515,New,83929.54,Model 3,4
429,Audi,5.4,Diesel,Automatic,159950,Used,43837.32,Q5,12
430,Audi,2.0,Hybrid,Manual,167229,Like New,70814.24,A3,6
431,Tesla,4.7,Diesel,Manual,5914,Used,24001.54,Model Y,23
432,Toyota,2.4,Petrol,Automatic,214772,Like New,97461.61,Prius,23
433,Ford,5.0,Diesel,Manual,289324,Used,38249.76,Fiesta,17
434,Honda,6.0,Diesel,Automatic,227561,Like New,85357.36,Accord,20
435,Toyota,1.2,Diesel,Automatic,187435,New,94809.81,Camry,13
436,Honda,5.5,Electric,Automatic,95213,Used,87147.83,Fit,5
437,Tesla,4.1,Hybrid,Automatic,37805,Used,11371.43,Model S,24
438,Mercedes,5.9,Diesel,Automatic,126599,Like New,66779.18,C-Class,18
439,Honda,3.3,Hybrid,Automatic,153775,Like New,16408.62,Civic,5
440,Ford,5.2,Petrol,Manual,190093,Used,5537.99,Mustang,24
441,Mercedes,1.3,Petrol,Manual,74176,Like New,9919.43,GLA,22
442,Honda,2.7,Diesel,Automatic,94799,New,92034.17,Civic,11
443,Tesla,1.3,Petrol,Manual,98385,Used,91304.03,Model 3,22
444,Mercedes,5.9,Hybrid,Automatic,235654,New,26453.32,C-Class,13
445,Tesla,5.1,Electric,Manual,88919,Used,56970.82,Model Y,14
446,Honda,5.3,Diesel,Manual,81462,New,95727.68,Accord,13
447,Tesla,5.7,Petrol,Manual,179340,Used,52187.08,Model Y,12
448,Ford,1.4,Hybrid,Automatic,165320,Like New,42389.89,Mustang,6
449,Honda,2.9,Hybrid,Manual,31159,Used,50908.63,CR-V,8
450,Honda,1.4,Petrol,Automatic,42039,New,80070.5,Fit,20
451,Honda,2.1,Hybrid,Automatic,232974,Used,50341.38,Civic,15
452,Toyota,2.1,Hybrid,Automatic,47800,New,79411.38,Camry,24
453,Toyota,3.3,Diesel,Manual,94626,New,46011.26,Corolla,3
454,Toyota,2.3,Hybrid,Manual,118368,New,28940.54,RAV4,7
455,Ford,1.5,Petrol,Manual,174735,Like New,36014.91,Explorer,7
456,Mercedes,1.8,Diesel,Automatic,80903,Used,12393.23,C-Class,21
457,Tesla,1.7,Petrol,Automatic,118998,New,52251.21,Model X,7
458,Audi,5.9,Electric,Manual,241324,Like New,19070.54,Q5,24
459,Honda,4.8,Petrol,Automatic,233229,New,82096.97,Accord,16
460,Tesla,5.8,Petrol,Manual,61748,Used,44956.1,Model S,24
461,Honda,3.2,Diesel,Manual,41190,Like New,77675.22,CR-V,15
462,Ford,2.4,Hybrid,Manual,40318,New,95673.74,Explorer,8
463,Honda,5.0,Petrol,Manual,168090,New,85700.41,Accord,2
464,Toyota,2.6,Diesel,Automatic,124078,New,95389.05,Camry,11
465,Audi,2.5,Electric,Manual,39759,Used,58953.97,Q7,17
466,BMW,2.2,Diesel,Manual,278642,Like New,20705.82,X3,3
467,Honda,1.6,Diesel,Manual,25989,Like New,93862.62,Accord,7
468,Tesla,2.3,Hybrid,Manual,156640,Like New,87507.92,Model X,17
469,Toyota,2.8,Petrol,Manual,161171,New,87119.23,Corolla,23
470,BMW,4.4,Electric,Manual,285626,Like New,70861.07,3 Series,5
471,Audi,1.3,Diesel,Manual,292192,New,64367.04,Q7,17
472,BMW,2.1,Petrol,Automatic,35814,Used,6398.77,X5,12
473,Toyota,5.0,Petrol,Automatic,190766,Like New,76065.14,Corolla,7
474,Mercedes,1.7,Diesel,Automatic,60204,New,13695.84,E-Class,19
475,Mercedes,2.7,Petrol,Automatic,32844,Like New,29676.34,GLA,10
476,BMW,5.3,Diesel,Manual,248827,Like New,57391.58,X3,10
477,Ford,1.8,Diesel,Automatic,245256,Used,47914.6,Fiesta,25
478,Tesla,1.4,Diesel,Automatic,21518,Like New,6498.57,Model X,22
479,Tesla,3.4,Electric,Automatic,23052,Used,83278.58,Model S,22
480,BMW,2.5,Diesel,Manual,256346,Like New,88486.09,X3,19
481,Honda,3.8,Hybrid,Automatic,69803,Like New,69777.93,Fit,18
482,Honda,5.0,Petrol,Automatic,71524,Like New,56401.45,Accord,9
483,Tesla,1.7,Electric,Manual,224582,Like New,96270.09,Model X,21
484,Tesla,3.9,Petrol,Automatic,67021,Like New,16395.84,Model 3,19
485,Mercedes,3.5,Electric,Manual,211321,Like New,75101.46,GLA,6
486,Ford,1.7,Hybrid,Automatic,282187,Used,17194.26,Explorer,6
487,Toyota,4.1,Electric,Manual,2419,Used,41275.26,Prius,22
488,Honda,2.4,Electric,Automatic,187964,New,60621.03,Civic,20
489,Tesla,3.4,Electric,Automatic,121831,Like New,75023.33,Model S,19
490,Mercedes,1.4,Petrol,Automatic,244688,Used,5353.03,GLA,8
491,Audi,3.3,Diesel,Manual,101799,Like New,29756.8,Q5,21
492,Mercedes,2.5,Petrol,Automatic,194941,Like New,56129.04,GLA,6
493,Honda,5.1,Diesel,Manual,176282,Used,55623.0,Fit,23
494,Honda,1.3,Petrol,Manual,108611,Like New,65574.51,Civic,19
495,Mercedes,3.1,Hybrid,Manual,137559,Used,33866.09,C-Class,4
496,Toyota,3.3,Hybrid,Manual,62112,Used,56350.28,Corolla,12
497,BMW,4.6,Electric,Automatic,239040,New,23029.74,5 Series,19
498,Honda,3.9,Hybrid,Automatic,278504,New,22752.86,CR-V,21
499,Mercedes,4.3,Electric,Automatic,233451,New,59773.58,GLA,4
500,Tesla,4.9,Diesel,Manual,221490,New,70119.9,Model X,21
501,Mercedes,5.3,Hybrid,Automatic,265161,Like New,16438.0,GLA,3
502,Ford,2.6,Diesel,Manual,191196,Like New,16665.04,Mustang,24
503,BMW,3.7,Petrol,Manual,247418,New,58703.76,5 Series,5
504,Audi,5.2,Diesel,Manual,221370,Used,30659.1,Q7,4
505,Toyota,5.9,Petrol,Automatic,189340,Used,42277.91,Corolla,20
506,Audi,5.4,Diesel,Automatic,66320,Used,43071.1,A3,11
507,BMW,2.9,Diesel,Manual,235067,Used,21962.52,X3,5
508,BMW,2.0,Hybrid,Automatic,212373,Like New,5124.89,3 Series,16
509,BMW,3.4,Diesel,Automatic,293271,Used,86049.42,5 Series,3
510,Audi,4.7,Hybrid,Manual,180786,Used,72925.19,Q7,2
511,Tesla,3.5,Hybrid,Manual,294065,New,70601.16,Model 3,19
512,BMW,3.4,Electric,Automatic,266890,Used,56917.99,3 Series,21
513,Mercedes,5.2,Electric,Manual,65350,Like New,71592.12,E-Class,25
514,Audi,2.8,Petrol,Manual,181417,Used,93890.4,A4,13
515,BMW,5.3,Diesel,Automatic,240678,Used,68239.0,X5,5
516,Mercedes,3.0,Petrol,Automatic,22063,Like New,30183.68,GLA,8
517,Tesla,2.6,Diesel,Manual,117116,New,59203.2,Model X,13
518,Ford,3.3,Electric,Automatic,177043,Like New,47020.82,Fiesta,5
519,Tesla,4.8,Electric,Manual,134670,New,57859.82,Model Y,5
520,BMW,1.6,Diesel,Manual,10564,Used,54173.0,5 Series,8
521,Audi,2.0,Diesel,Automatic,242124,New,86583.65,A4,21
522,Honda,5.8,Electric,Manual,227506,New,66921.01,CR-V,13
523,BMW,1.9,Electric,Manual,86134,New,22932.06,3 Series,22
524,Honda,3.8,Petrol,Manual,105940,Used,10986.59,Accord,9
525,Mercedes,3.9,Electric,Automatic,62085,New,45314.56,E-Class,23
526,Ford,3.4,Diesel,Automatic,17862,New,6483.01,Focus,9
527,Toyota,4.2,Petrol,Automatic,272409,Used,35238.25,RAV4,15
528,Tesla,2.1,Diesel,Manual,140777,Like New,39962.04,Model Y,5
529,Ford,3.8,Hybrid,Manual,186351,Like New,40680.94,Explorer,6
530,BMW,2.9,Petrol,Automatic,62471,Like New,98038.25,X3,3
531,Honda,4.3,Diesel,Automatic,91080,Used,33870.58,Civic,5
532,Tesla,1.7,Electric,Automatic,108007,Used,30196.61,Model X,22
533,Honda,3.9,Hybrid,Manual,46104,Like New,17291.19,Accord,24
534,Audi,1.9,Diesel,Automatic,40934,New,53545.84,A4,6
535,Honda,2.4,Petrol,Manual,254606,Like New,19599.06,Fit,10
536,Audi,2.1,Diesel,Automatic,6050,Used,63548.0,A3,8
537,Mercedes,1.9,Hybrid,Manual,175024,New,19740.18,E-Class,18
538,Tesla,5.1,Petrol,Manual,270628,New,59783.97,Model X,23
539,Tesla,2.4,Hybrid,Automatic,184750,Used,83495.58,Model S,17
540,Toyota,5.6,Diesel,Manual,31323,New,9039.84,RAV4,6
541,BMW,5.8,Electric,Automatic,86332,Like New,44875.96,5 Series,20
542,Audi,3.9,Electric,Manual,255540,Used,48799.65,A3,16
543,Toyota,1.7,Diesel,Manual,254547,Used,80151.85,Prius,5
544,Honda,2.9,Diesel,Automatic,272459,Used,49451.99,CR-V,16
545,Honda,5.0,Diesel,Manual,157591,Used,58915.9,Accord,13
546,Toyota,2.8,Petrol,Automatic,271251,New,80164.4,Prius,9
547,Tesla,1.4,Hybrid,Automatic,55781,Used,58177.06,Model S,17
548,Honda,3.8,Hybrid,Automatic,266013,Used,39038.44,Accord,9
549,Mercedes,5.2,Hybrid,Manual,7971,New,13155.02,C-Class,2
550,Mercedes,5.0,Diesel,Manual,254927,Used,74341.98,GLC,17
551,Toyota,1.9,Hybrid,Manual,287795,New,87758.12,RAV4,17
552,Audi,4.4,Diesel,Automatic,23446,New,97156.13,A4,25
553,Audi,2.1,Petrol,Automatic,257419,Used,93026.99,A4,24
554,Toyota,2.1,Electric,Manual,169180,Like New,80754.7,Corolla,10
555,Audi,5.4,Diesel,Manual,3823,Used,66129.83,Q5,25
556,Tesla,2.2,Diesel,Automatic,144526,Like New,79238.71,Model X,16
557,Tesla,2.3,Electric,Manual,135004,New,46047.95,Model X,8
558,Audi,1.0,Electric,Automatic,205162,Like New,61503.74,A4,18
559,Mercedes,5.4,Petrol,Manual,67965,Used,38126.48,GLA,5
560,Audi,5.0,Hybrid,Automatic,272654,Used,36037.38,Q7,15
561,Tesla,4.1,Diesel,Manual,141609,Like New,76885.72,Model X,3
562,Ford,4.8,Hybrid,Manual,105935,Used,48123.61,Explorer,24
563,BMW,1.8,Diesel,Automatic,233705,Like New,25155.32,X5,18
564,Honda,3.3,Petrol,Automatic,253978,New,24184.13,CR-V,4
565,Ford,2.8,Electric,Automatic,144854,Like New,86621.37,Mustang,18
566,Audi,1.5,Petrol,Manual,78004,Like New,69387.25,A4,9
567,Mercedes,3.4,Electric,Automatic,22072,Like New,56874.38,GLC,11
568,Toyota,5.6,Hybrid,Automatic,81015,Like New,43089.18,Corolla,9
569,Audi,1.2,Hybrid,Manual,225075,New,45927.65,Q5,3
570,Mercedes,2.5,Petrol,Automatic,220010,New,10456.34,GLA,2
571,BMW,2.0,Electric,Automatic,72746,New,48216.46,3 Series,13
572,Audi,2.2,Petrol,Automatic,176774,Like New,80568.22,Q5,7
573,Tesla,5.5,Electric,Manual,128259,New,41858.72,Model X,21
574,Toyota,3.3,Electric,Manual,30916,Used,41440.22,Camry,14
575,Mercedes,3.3,Hybrid,Manual,27268,New,6493.08,GLA,25
576,Mercedes,4.8,Hybrid,Automatic,175050,Like New,48494.35,E-Class,3
577,Mercedes,1.8,Electric,Manual,243966,Used,7407.08,C-Class,21
578,BMW,3.4,Electric,Automatic,23259,Like New,59183.2,5 Series,18
579,Audi,3.1,Electric,Automatic,79400,Used,53144.42,Q5,13
580,BMW,4.0,Hybrid,Automatic,296437,Like New,84800.81,3 Series,18
581,Honda,6.0,Hybrid,Manual,111581,Like New,60269.16,Accord,3
582,Honda,4.8,Diesel,Manual,7043,Used,35725.6,Accord,15
583,Audi,3.0,Electric,Automatic,181502,New,54041.95,Q7,25
584,Tesla,5.1,Diesel,Automatic,107009,Used,71472.1,Model Y,13
585,BMW,1.9,Electric,Manual,209137,Used,13926.56,X5,7
586,Toyota,1.2,Hybrid,Manual,161940,Used,64002.04,RAV4,2
587,Mercedes,2.0,Diesel,Manual,288453,Used,92079.5,E-Class,23
588,Mercedes,2.7,Diesel,Automatic,285428,Used,33417.38,GLC,2
589,Audi,3.6,Petrol,Manual,113259,Like New,64529.38,A4,9
590,Tesla,4.1,Electric,Manual,100804,Like New,83026.3,Model 3,21
591,Honda,5.6,Hybrid,Manual,69000,New,53621.61,Accord,6
592,Honda,3.5,Petrol,Automatic,84179,New,73208.06,Accord,5
593,Mercedes,3.5,Petrol,Manual,291409,Used,34545.98,C-Class,18
594,Audi,1.3,Electric,Automatic,260226,New,34075.55,A3,12
595,BMW,1.2,Petrol,Automatic,23880,New,68420.48,X3,22
596,Honda,3.8,Electric,Automatic,201264,Used,72013.84,Civic,15
597,BMW,3.2,Petrol,Manual,172438,Like New,94015.92,X5,6
598,Tesla,5.2,Electric,Manual,245352,Like New,26359.66,Model Y,11
599,Honda,1.8,Hybrid,Manual,67396,New,49480.67,Civic,7
600,Honda,1.1,Electric,Automatic,279250,Like New,28798.78,CR-V,19
601,Ford,3.2,Electric,Manual,56731,Like New,12608.76,Focus,7
602,Honda,2.2,Diesel,Automatic,75010,New,43306.9,Fit,7
603,Toyota,1.2,Hybrid,Manual,249091,Used,40537.67,Prius,15
604,Audi,4.6,Hybrid,Manual,294743,New,30691.24,A4,21
605,Audi,1.6,Hybrid,Manual,71326,New,33214.51,A4,21
606,BMW,4.0,Petrol,Manual,248876,New,39239.12,3 Series,4
607,Tesla,2.4,Diesel,Automatic,9004,Used,98939.58,Model 3,18
608,Honda,1.9,Hybrid,Automatic,115018,Used,79380.99,Civic,16
609,Toyota,2.9,Petrol,Automatic,25792,Used,11783.11,Prius,20
610,BMW,5.0,Petrol,Automatic,54645,Used,87879.25,5 Series,11
611,Ford,3.0,Petrol,Manual,7232,New,65163.82,Fiesta,10
612,BMW,4.8,Diesel,Automatic,54766,Like New,89606.41,X5,9
613,BMW,1.6,Petrol,Automatic,120601,New,37462.42,X5,18
614,Honda,4.9,Diesel,Automatic,81588,Used,49129.29,Fit,18
615,Ford,2.2,Electric,Manual,179614,Like New,90141.57,Focus,17
616,BMW,4.4,Petrol,Automatic,5913,New,30894.45,X3,24
617,Toyota,3.8,Hybrid,Automatic,112406,Like New,91972.58,RAV4,11
618,Toyota,5.6,Petrol,Manual,113693,Used,83707.47,Camry,8
619,Audi,2.9,Electric,Manual,93449,Like New,98153.0,Q7,23
620,Ford,1.3,Electric,Automatic,10567,Like New,35804.47,Mustang,9
621,Ford,1.1,Petrol,Automatic,38379,Used,27396.55,Focus,22
622,Audi,5.1,Electric,Manual,206040,Like New,36432.36,Q7,22
623,BMW,3.6,Diesel,Automatic,262463,New,95691.73,3 Series,12
624,Ford,4.9,Diesel,Manual,90005,Like New,36641.96,Fiesta,17
625,Toyota,2.2,Petrol,Automatic,223098,New,58695.12,Prius,17
626,Toyota,2.7,Diesel,Automatic,4791,Like New,43349.53,Camry,3
627,Honda,1.2,Diesel,Automatic,131401,Like New,42640.91,Fit,8
628,Ford,5.8,Hybrid,Automatic,205459,Used,23370.97,Explorer,16
629,BMW,4.3,Petrol,Automatic,61032,Used,56022.56,X5,5
630,Audi,5.7,Electric,Manual,175150,New,85693.4,A4,22
631,Audi,2.3,Petrol,Manual,21300,Used,9701.08,Q7,14
632,BMW,4.1,Diesel,Automatic,55609,Used,89476.53,X3,18
633,Tesla,4.4,Hybrid,Automatic,191634,Used,68219.93,Model 3,24
634,Mercedes,2.6,Petrol,Automatic,90045,Used,63590.12,GLA,4
635,Honda,5.2,Petrol,Manual,267847,Used,64460.52,Civic,13
636,Audi,5.7,Diesel,Manual,223717,New,33145.63,Q7,5
637,Ford,5.4,Diesel,Manual,219162,New,44438.73,Focus,10
638,Honda,4.7,Petrol,Manual,27676,Used,80932.55,Civic,24
639,Ford,2.4,Diesel,Manual,220412,Used,34106.2,Focus,15
640,Tesla,2.4,Diesel,Manual,176512,New,49651.92,Model X,16
641,Toyota,5.8,Diesel,Manual,167995,Like New,6865.07,Corolla,11
642,Honda,1.1,Diesel,Manual,291946,New,74688.04,CR-V,9
643,Audi,4.6,Diesel,Automatic,124786,Like New,44681.71,A4,18
644,Honda,4.5,Hybrid,Manual,68147,Used,54909.08,Accord,8
645,Honda,4.1,Diesel,Manual,22075,Used,15895.49,Civic,3
646,Honda,6.0,Electric,Manual,205788,New,99212.85,Accord,17
647,Mercedes,2.6,Petrol,Manual,9304,Used,33734.44,GLA,18
648,Honda,2.7,Hybrid,Automatic,129851,Like New,65324.02,Civic,12
649,Ford,1.4,Hybrid,Manual,59622,Like New,60217.45,Fiesta,8
650,Toyota,3.2,Diesel,Automatic,108654,New,79583.76,Camry,4
651,Tesla,2.3,Petrol,Automatic,249109,Like New,32914.51,Model S,6
652,BMW,2.7,Electric,Automatic,286172,New,76813.1,X3,6
653,Honda,5.2,Diesel,Manual,39328,New,41337.66,CR-V,5
654,Audi,5.7,Petrol,Manual,289445,Like New,44060.29,Q5,14
655,Honda,1.9,Diesel,Manual,218348,Like New,68907.69,Accord,7
656,Audi,2.9,Diesel,Automatic,36845,Like New,79507.15,A3,12
657,Ford,5.6,Diesel,Automatic,76394,Like New,68352.33,Explorer,9
658,Audi,1.3,Diesel,Automatic,175231,Like New,90488.55,Q7,2
659,BMW,1.5,Diesel,Automatic,80722,Like New,32090.11,3 Series,5
660,Toyota,1.8,Diesel,Manual,287374,Like New,90558.59,Corolla,23
661,Audi,4.0,Diesel,Manual,92554,Used,17432.03,A4,3
662,Audi,1.8,Electric,Manual,49262,New,67655.38,A4,19
663,Toyota,5.8,Hybrid,Automatic,41722,New,57024.91,Corolla,9
664,BMW,3.2,Electric,Automatic,171231,Like New,51990.41,X5,14
665,Honda,3.5,Diesel,Manual,240740,New,34536.64,Civic,17
666,Audi,2.2,Diesel,Manual,87052,Like New,52854.61,A3,11
667,Toyota,3.4,Electric,Automatic,100808,Used,20368.47,Camry,8
668,Ford,4.3,Electric,Manual,255416,New,40085.49,Explorer,5
669,Toyota,4.8,Hybrid,Manual,262128,New,14374.69,Camry,13
670,Ford,4.8,Electric,Automatic,221281,Used,59325.43,Focus,5
671,BMW,3.9,Hybrid,Automatic,246052,Used,14097.95,X5,18
672,Honda,5.5,Diesel,Automatic,104697,Used,20232.74,Fit,12
673,Toyota,5.1,Petrol,Manual,231572,New,13119.35,RAV4,18
674,Tesla,4.8,Petrol,Automatic,232842,New,41224.51,Model X,12
675,Tesla,1.3,Petrol,Manual,96299,Used,84986.05,Model Y,19
676,Mercedes,1.0,Petrol,Manual,165746,Used,91155.16,GLC,3
677,Audi,2.1,Diesel,Automatic,149177,Used,11829.5,A3,14
678,BMW,4.3,Petrol,Manual,160811,Used,65282.26,X5,15
679,Toyota,3.1,Electric,Automatic,163041,Used,70016.62,Prius,4
680,Tesla,3.0,Electric,Automatic,14497,Like New,55708.14,Model X,4
681,Audi,5.4,Petrol,Manual,254204,Used,68363.56,Q5,15
682,Tesla,5.5,Electric,Manual,257471,Like New,27200.62,Model Y,4
683,Toyota,5.5,Hybrid,Automatic,92019,New,51516.2,RAV4,13
684,Ford,2.6,Diesel,Automatic,190326,New,42133.21,Explorer,8
685,Toyota,4.5,Petrol,Automatic,109017,Like New,13522.26,Prius,24
686,Mercedes,2.4,Petrol,Automatic,218220,Used,64427.86,C-Class,5
687,Toyota,2.0,Diesel,Automatic,105153,New,52045.44,Corolla,11
688,Toyota,1.9,Electric,Automatic,33826,Used,31141.53,RAV4,6
689,Mercedes,2.7,Diesel,Manual,110034,Used,50000.1,C-Class,8
690,BMW,3.1,Diesel,Manual,84242,Like New,78653.31,5 Series,11
691,Toyota,5.2,Electric,Manual,50100,New,81157.49,RAV4,7
692,Mercedes,1.6,Diesel,Manual,221171,New,66704.98,GLC,3
693,Audi,4.7,Electric,Automatic,12809,Like New,49436.04,Q5,2
694,Ford,3.7,Electric,Manual,64450,Used,59696.22,Explorer,14
695,Ford,2.4,Diesel,Manual,111126,Used,41576.46,Focus,13
696,Toyota,3.5,Hybrid,Automatic,264237,New,17022.85,RAV4,4
697,BMW,2.5,Electric,Manual,44498,Like New,41633.96,X5,15
698,BMW,4.0,Diesel,Automatic,116251,Like New,55381.61,X3,21
699,Audi,3.2,Electric,Automatic,40985,Used,61889.23,Q7,25
700,Toyota,1.8,Hybrid,Automatic,294153,Used,93901.09,Corolla,2
701,Ford,1.6,Hybrid,Automatic,17718,Like New,78846.68,Fiesta,23
702,BMW,3.7,Petrol,Automatic,278849,New,19439.29,X3,4
703,Toyota,5.5,Electric,Manual,62598,Used,21547.31,Prius,7
704,Tesla,2.7,Electric,Manual,274383,Like New,14547.0,Model 3,3
705,BMW,4.7,Diesel,Manual,46665,Like New,75127.26,3 Series,19
706,Mercedes,4.3,Electric,Automatic,294418,Like New,72081.62,C-Class,14
707,Tesla,5.7,Petrol,Manual,146075,New,98704.48,Model 3,11
708,BMW,5.1,Hybrid,Manual,161938,Used,54592.22,X5,21
709,Ford,3.8,Hybrid,Manual,153060,Used,83509.42,Focus,11
710,Honda,4.3,Petrol,Manual,221516,Used,59761.79,CR-V,18
711,Tesla,5.5,Electric,Automatic,136746,New,88038.24,Model Y,16
712,Audi,3.0,Electric,Manual,201610,Used,73497.0,A4,10
713,Audi,2.6,Petrol,Automatic,66446,Used,66073.98,A3,18
714,Ford,1.1,Diesel,Automatic,29072,Used,58686.65,Mustang,25
715,BMW,5.1,Hybrid,Manual,33717,Used,73682.2,3 Series,14
716,Toyota,5.0,Petrol,Automatic,218417,New,44867.12,Prius,21
717,BMW,1.5,Petrol,Automatic,157723,Like New,14174.78,X3,23
718,Ford,3.9,Electric,Automatic,109525,Like New,8798.68,Focus,25
719,Audi,3.3,Hybrid,Automatic,213092,Used,50507.25,Q7,22
720,BMW,1.6,Electric,Automatic,4646,Used,61932.7,3 Series,18
721,Audi,5.9,Petrol,Automatic,175403,Used,12490.66,A3,23
722,Tesla,2.1,Diesel,Automatic,284329,New,32255.84,Model S,16
723,Toyota,1.3,Hybrid,Manual,229728,Used,35593.06,Corolla,24
724,Tesla,4.0,Petrol,Manual,52107,New,58465.58,Model Y,15
725,Audi,4.7,Petrol,Automatic,244865,Used,31455.83,Q5,16
726,Audi,1.2,Diesel,Automatic,279707,Used,14086.62,A3,5
727,Honda,4.3,Petrol,Manual,70729,Like New,20661.39,Accord,12
728,Honda,3.7,Petrol,Manual,277845,Used,21525.04,Civic,19
729,Tesla,1.5,Hybrid,Manual,200144,New,85056.02,Model S,24
730,Mercedes,1.9,Hybrid,Manual,215494,Like New,32010.37,GLC,17
731,Tesla,3.8,Hybrid,Automatic,252615,New,72895.71,Model X,10
732,Honda,2.5,Electric,Automatic,128331,Like New,58944.68,Fit,13
733,Audi,5.7,Diesel,Manual,160482,New,97818.68,A4,17
734,Ford,5.1,Hybrid,Manual,99280,Like New,30918.15,Fiesta,6
735,Tesla,5.9,Electric,Manual,189787,New,20045.44,Model S,22
736,Audi,2.3,Electric,Manual,38665,New,9943.59,A3,4
737,Ford,5.8,Diesel,Automatic,278101,Used,27891.17,Explorer,16
738,Ford,3.2,Diesel,Manual,259285,Like New,69986.73,Focus,4
739,Honda,2.7,Petrol,Manual,163947,Like New,13099.53,CR-V,14
740,Tesla,1.3,Electric,Manual,113828,Used,28246.68,Model 3,9
741,BMW,1.3,Hybrid,Automatic,132698,New,86254.29,3 Series,12
742,Toyota,4.5,Diesel,Automatic,90815,New,60380.53,RAV4,12
743,Honda,3.3,Electric,Automatic,194894,Like New,11604.55,Fit,24
744,Honda,2.1,Hybrid,Manual,203485,New,9529.9,Civic,5
